Address,Category,City,Delivery,Fri,Health_Score,Highlights,Mon,Name,Phone,Price,Rating,Reviews,Sat,Smoking,Sun,Take_out,Thu,Tue,Wed,Wi_Fi
"516 2nd St,Davis,CA,95616","Seafood,Poke,Ramen",Davis,No,11:00 am - 10:00 pm,,"12 years in business,Locally sourced ingredients,Grab-and-go,Large group friendly,Kid friendly,Family-owned & operated",11:00 am - 10:00 pm,Fish's Wild Island Grill,(530) 753-8883,$11-30,4.0,324,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"730 3rd St,Davis,CA,95616","Sushi Bars,Poke,Caterers",Davis,No,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Zumapoke & Lush Ice,(530) 341-0498,$11-30,4.5,465,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"247 3rd St,Davis,CA,95616",,Davis,,,,,,Tim's Hawaiian BBQ,(530) 564-7368,,3.5,17,,,,,,,,
"417 Mace Blvd,Davis,CA,95618",Chinese,Davis,No,11:00 am - 9:30 pm,,,11:00 am - 9:00 pm,Wok of Flame,(530) 753-0888,$11-30,4.0,462,11:00 am - 9:30 pm,,12:00 pm - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"117 E St,Davis,CA,95616","Thai,Salad,Noodles",Davis,No,11:00 am - 12:00 am,,,11:00 am - 10:00 pm,Thai Canteen,(530) 231-5465,$11-30,3.5,949,11:00 am - 12:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Free
"505 1/2 L St,Davis,CA,95616",Mexican,Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Taqueria Davis,(530) 758-8453,Under $10,4.5,552,11:00 am - 9:00 pm,,Closed,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"236 A St,Davis,CA,95616","Bubble Tea,Juice Bars & Smoothies,Ramen",Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,i-Tea,(530) 838-9288,Under $10,4.0,91,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"250 Dorset Ct,Dixon,CA,95620","Steakhouses,American (Traditional)",Davis,No,4:00 pm - 10:00 pm,83 out of 100,,4:00 pm - 10:00 pm,Cattlemens,(707) 678-5518,$11-30,4.0,724,4:00 pm - 10:00 pm,,4:00 pm - 10:00 pm,Yes,4:00 pm - 10:00 pm,4:00 pm - 10:00 pm,4:00 pm - 10:00 pm,Free
"825 Russell Blvd,Ste 22,Davis,CA,95616","Bubble Tea,Taiwanese",Davis,No,11:30 am - 1:00 am,,,11:30 am - 12:00 am,The Old Teahouse,(530) 746-5973,Under $10,4.0,193,11:30 am - 1:00 am,,11:30 am - 12:00 am,Yes,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,Free
"407 G St,Ste 4,Davis,CA,95616","Desserts,Bubble Tea,Ramen",Davis,Yes,3:00 pm - 12:00 am,,,3:00 pm - 12:00 am,Lazi Cow,(530) 746-2088,Under $10,3.5,434,12:00 pm - 12:00 am,,12:00 pm - 12:00 am,Yes,3:00 pm - 12:00 am,3:00 pm - 12:00 am,3:00 pm - 12:00 am,Free
"204 G St,Davis,CA,95616","Chinese,Asian Fusion,Soup",Davis,No,11:00 am - 2:00 am,,,11:00 am - 12:00 am,Open Rice Kitchen,(530) 757-2328,Under $10,3.0,537,11:00 am - 2:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 2:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Free
"234 D St,Davis,CA,95616",American (New),Davis,No,7:00 am - 10:00 pm,,,7:00 am - 9:00 pm,Cafe Bernardo,(530) 750-5101,$11-30,3.5,544,8:00 am - 10:00 pm,,8:00 am - 9:00 pm,Yes,7:00 am - 9:00 pm,7:00 am - 9:00 pm,7:00 am - 9:00 pm,Free
"640 West Covell Blvd,Ste A,Davis,CA,95616","Middle Eastern,Mediterranean",Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Chickpeas Kitchen - Davis,(800) 909-5353,Under $10,4.0,310,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"238 G St,Davis,CA,95616","Thai,Bars",Davis,Yes,"11:00 am - 2:00 pm,4:00 pm - 10:00 pm",,,Closed,KetMoRee Thai Restaurant & Bar,(530) 759-2255,$11-30,3.0,581,12:00 pm - 10:00 pm,No,12:00 pm - 9:00 pm,Yes,"11:00 am - 2:00 pm,4:00 pm - 10:00 pm",4:00 pm - 9:00 pm,4:00 pm - 9:00 pm,Free
"132 E St,Ste 100,Davis,CA,95616","Sushi Bars,Japanese",Davis,No,"11:30 am - 2:00 pm,5:30 pm - 10:00 pm",,,4:30 pm - 9:00 pm,Zen Toro Japanese Bistro & Sushi Bar,(530) 753-0154,$11-30,3.5,464,4:30 pm - 10:00 pm,,Closed,Yes,"11:30 am - 2:00 pm,5:30 pm - 9:00 pm","11:30 am - 2:00 pm,5:30 pm - 9:00 pm","11:30 am - 2:00 pm,5:30 pm - 9:00 pm",No
"1260 Lake Blvd,Ste 111,Davis,CA,95616",Chinese,Davis,No,11:30 am - 9:30 pm,,,Closed,Shanghai Town,(530) 758-4663,Under $10,3.5,313,11:30 am - 9:30 pm,,11:30 am - 9:30 pm,Yes,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,No
"129 E St,Ste E,Davis,CA,95616","Thai,Bars,Music Venues",Davis,No,"11:30 am - 2:00 pm,5:00 pm - 9:30 pm",,,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm",Sophia's Thai Bar & Kitchen,(530) 758-4333,$11-30,3.5,686,"11:30 am - 2:00 pm,5:00 pm - 9:30 pm",,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm",Yes,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm","11:30 am - 2:00 pm,5:00 pm - 9:00 pm","11:30 am - 2:00 pm,5:00 pm - 9:00 pm",Free
"335 F St,Davis,CA,95616",Cantonese,Davis,No,11:30 am - 9:30 pm,,,11:30 am - 9:30 pm,Tasty Kitchen,(530) 753-7007,$11-30,3.0,216,11:30 am - 9:30 pm,,11:30 am - 9:30 pm,Yes,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,No
"305 1st St,Davis,CA,95616",Mexican,Davis,Yes,8:00 am - 11:30 pm,,,8:00 am - 11:00 pm,Davis's Piñata Mexican Grill,(530) 750-5001,Under $10,4.0,204,8:00 am - 11:30 pm,,8:00 am - 11:00 pm,Yes,8:00 am - 11:30 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,Free
"122 B St,Davis,CA,95616","Pubs,Cafes",Davis,No,7:30 am - 2:00 pm,,,Closed,Delta of Venus,(530) 753-8639,$11-30,4.0,399,7:30 am - 2:00 pm,,7:30 am - 2:00 pm,Yes,7:30 am - 2:00 pm,Closed,7:30 am - 2:00 pm,Free
"234 G St,Davis,CA,95616","Indian,Himalayan/Nepalese",Davis,Yes,11:00 am - 11:00 pm,,,11:00 am - 10:00 pm,Kathmandu Kitchen,(530) 756-3507,$11-30,3.5,488,11:00 am - 11:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"222 D St,Ste 3,Davis,CA,95616","Coffee & Tea,Tea Rooms,Sandwiches",Davis,No,10:00 am - 6:00 pm,,,Closed,Tea List,(530) 750-2700,$11-30,4.0,367,10:00 am - 6:00 pm,,11:00 am - 5:00 pm,Yes,10:00 am - 5:30 pm,Closed,10:00 am - 5:30 pm,No
"330 3rd St,Davis,CA,95616","Breakfast & Brunch,Creperies,Sandwiches",Davis,No,7:00 am - 11:00 pm,,,7:00 am - 11:00 pm,Crepeville,(530) 750-2400,$11-30,4.0,909,7:00 am - 11:00 pm,,7:00 am - 11:00 pm,Yes,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,Free
"2191 Cowell Blvd,Davis,CA,95618","Tex-Mex,Tacos",Davis,No,11:00 am - 9:30 pm,,,11:00 am - 9:30 pm,Dos Coyotes Border Cafe,(530) 758-1400,$11-30,3.5,395,11:00 am - 9:30 pm,,11:00 am - 9:30 pm,Yes,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,No
"2191 Cowell Blvd,Ste E,Davis,CA,95618","Cafes,Bubble Tea",Davis,Yes,12:00 pm - 2:00 am,,,12:00 pm - 2:00 am,Teabo Café,(530) 297-7417,Under $10,3.5,526,12:00 pm - 2:00 am,,12:00 pm - 2:00 am,Yes,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,No
"1411 W Covell Blvd,Ste 107,Davis,CA,95616","Tex-Mex,Tacos",Davis,,11:00 am - 10:00 pm,,,11:00 am - 9:30 pm,Dos Coyotes Border Cafe,(530) 753-0922,Under $10,3.5,439,11:00 am - 10:00 pm,,11:00 am - 9:30 pm,Yes,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,No
"640 W Covell Blvd,Davis,CA,95616","Chinese,Vegetarian",Davis,No,11:30 am - 9:30 pm,,,11:30 am - 9:30 pm,Ding How Restaurant,(530) 753-3590,Under $10,3.5,249,11:30 am - 9:30 pm,,4:30 pm - 9:30 pm,Yes,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,No
"814 2nd St,Davis,CA,95616","Bakeries,Pizza,Salad",Davis,Yes,6:00 am - 9:00 pm,,,6:00 am - 9:00 pm,Village Bakery,(530) 750-2255,Under $10,4.0,281,6:00 am - 9:00 pm,,8:00 am - 8:00 pm,Yes,6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,Free
"213 E St,Ste C,Davis,CA,95616","Taiwanese,Desserts,Cafes",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 10:00 pm,Honey D Cafe,(530) 564-7168,$11-30,3.5,47,12:00 pm - 11:00 pm,,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,
"524 2nd St,Davis,CA,95616",Pizza,Davis,No,11:30 am - 1:00 am,,,11:30 am - 10:00 pm,Uncle Vito's Slice of NY,(530) 758-3000,Under $10,3.5,340,11:30 am - 1:00 am,,11:30 am - 10:00 pm,Yes,10:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,No
"206 E St,Davis,CA,95616",,Davis,Yes,11:30 am - 10:00 pm,,,11:30 am - 8:00 pm,BurgerIM,,,3.0,43,11:30 am - 10:00 pm,,11:30 am - 8:00 pm,Yes,11:30 am - 10:00 pm,11:30 am - 8:00 pm,11:30 am - 8:00 pm,
"2710 East 5th St,Davis,CA,95618","Bakeries,Coffee & Tea,Austrian",Davis,No,6:00 am - 6:00 pm,,,Closed,Konditorei Austrian Pastry Cafe,(530) 758-1331,$11-30,4.0,342,7:00 am - 3:00 pm,,7:00 am - 1:00 pm,Yes,6:00 am - 6:00 pm,6:00 am - 6:00 pm,6:00 am - 6:00 pm,Free
"223 F St,Davis,CA,95616","Mexican,Tex-Mex",Davis,No,10:00 am - 3:00 am,,,10:00 am - 11:00 pm,Taqueria El Burrito,(530) 756-1606,Under $10,3.5,447,9:00 am - 3:00 am,,9:00 am - 11:00 pm,Yes,10:00 am - 3:00 am,10:00 am - 11:00 pm,10:00 am - 11:00 pm,No
"2880 5th St,Ste 105,Davis,CA,95618","Sushi Bars,Japanese",Davis,No,"11:15 am - 2:30 pm,5:00 pm - 9:00 pm",,,"11:15 am - 2:30 pm,5:00 pm - 9:00 pm",Nami Sushi,(916) 999-1113,$11-30,3.5,302,"11:15 am - 2:30 pm,5:00 pm - 9:00 pm",,"11:15 am - 2:30 pm,5:00 pm - 9:00 pm",No,"11:15 am - 2:30 pm,5:00 pm - 9:00 pm","11:15 am - 2:30 pm,5:00 pm - 9:00 pm","11:15 am - 2:30 pm,5:00 pm - 9:00 pm",No
"707 2nd St,Davis,CA,95616","Sushi Bars,Buffets",Davis,No,"10:30 am - 2:30 pm,4:30 pm - 9:00 pm",,,"10:30 am - 2:30 pm,4:30 pm - 9:00 pm",Davis Sushi Buffet,(530) 297-1999,$11-30,3.0,640,"10:30 am - 2:30 pm,4:30 pm - 9:00 pm",,"10:30 am - 2:30 pm,4:30 pm - 9:00 pm",Yes,"10:30 am - 2:30 pm,4:30 pm - 9:00 pm","10:30 am - 2:30 pm,4:30 pm - 9:00 pm","10:30 am - 2:30 pm,4:30 pm - 9:00 pm",No
"129 E St,Space A-1,Davis,CA,95616",Hot Dogs,Davis,No,11:00 am - 12:00 am,,,11:00 am - 7:00 pm,The Hotdogger,(530) 753-6291,Under $10,4.0,261,11:00 am - 12:00 am,,11:00 am - 7:00 pm,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 7:00 pm,No
"226 F St,Davis,CA,95616","Bars,American (Traditional),Breakfast & Brunch",Davis,No,11:00 am - 12:00 am,,,11:00 am - 9:00 pm,Bistro 33,(530) 756-4556,$11-30,2.5,850,11:00 am - 12:00 am,,9:00 am - 9:00 pm,Yes,11:00 am - 12:00 am,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"212 F St,Davis,CA,95616","Sandwiches,Vegan,Gluten-Free",Davis,No,10:00 am - 9:00 pm,,,10:00 am - 8:00 pm,Ike's Sandwiches,(530) 746-2525,Under $10,4.0,333,10:00 am - 9:00 pm,,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"550 Oxford Cir,Davis,CA,95616","Buffets,Cafeteria",Davis,No,Open 24 hours,,,Open 24 hours,Cuarto Dining Commons,(530) 752-6658,Under $10,4.0,16,Open 24 hours,,Open 24 hours,No,Open 24 hours,Open 24 hours,Open 24 hours,Free
"105 E Dorset Dr,Ste A,Dixon,CA,95620",Mexican,Davis,No,10:30 am - 9:00 pm,76 out of 100,,10:30 am - 8:00 pm,La Cocina Mexicana Restaurant,(707) 693-1102,Under $10,4.0,281,9:00 am - 9:00 pm,,9:00 am - 8:00 pm,Yes,10:30 am - 9:00 pm,10:30 am - 8:00 pm,10:30 am - 8:00 pm,No
"The Silo,University of California Davis,Davis,CA,95616","Creperies,French",Davis,No,7:00 am - 2:00 pm,,,7:00 am - 5:00 pm,La Crepe,(530) 752-7057,Under $10,4.0,50,Closed,,Closed,Yes,7:00 am - 5:00 pm,7:00 am - 5:00 pm,7:00 am - 5:00 pm,Free
"4823 Chiles Rd,Davis,CA,95618",Thai,Davis,Yes,"11:00 am - 3:00 pm,5:00 pm - 9:30 pm",,,"11:00 am - 3:00 pm,5:00 pm - 9:30 pm",Kow Thai Restaurant,(530) 756-9894,$11-30,3.5,45,4:30 pm - 9:30 pm,,4:30 pm - 9:30 pm,Yes,"11:00 am - 3:00 pm,5:00 pm - 9:30 pm","11:00 am - 3:00 pm,5:00 pm - 9:30 pm","11:00 am - 3:00 pm,5:00 pm - 9:30 pm",Free
"Davis,CA,95618",,Davis,No,5:00 pm - 9:00 pm,,,Closed,Street Cravings,,,4.5,11,5:00 pm - 9:00 pm,,Closed,Yes,Closed,5:00 pm - 8:00 pm,Closed,No
"314 F St,Davis,CA,95616","Pizza,Italian",Davis,Yes,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Steve's Pizza,(530) 758-2800,$11-30,3.5,174,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"228 G St,Davis,CA,95616","Barbeque,Sports Bars,Music Venues",Davis,Yes,11:00 am - 2:00 am,,,11:00 am - 2:00 am,G Street WunderBar,(530) 756-9227,Under $10,3.0,156,11:00 am - 2:00 am,,11:00 am - 2:00 am,Yes,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,Free
"825 Russell Blvd,Ste 23,Davis,CA,95616","Sandwiches,Salad,Soup",Davis,No,11:00 am - 8:00 pm,,,11:00 am - 8:00 pm,Sourdough & Co,(530) 564-6200,Under $10,3.5,105,11:00 am - 8:00 pm,,11:00 am - 8:00 pm,Yes,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,No
"216 F St,Bistro 33 Davis,Davis,CA,95616","American (New),Sports Bars",Davis,No,3:00 pm - 1:00 am,,,3:00 pm - 9:00 pm,City Hall Tavern,(530) 756-4556,$11-30,3.5,61,10:00 am - 12:00 am,,9:00 am - 9:00 pm,Yes,3:00 pm - 1:00 am,3:00 pm - 9:00 pm,3:00 pm - 9:00 pm,No
"130 G St,Ste A,Davis,CA,95616","Juice Bars & Smoothies,Sandwiches,Breakfast & Brunch",Davis,Yes,8:00 am - 4:30 pm,,,8:00 am - 4:30 pm,Three Ladies Cafe,(530) 302-3434,$11-30,3.5,111,8:00 am - 4:30 pm,,8:00 am - 4:30 pm,Yes,8:00 am - 4:30 pm,8:00 am - 4:30 pm,8:00 am - 4:30 pm,Free
"206 F St,Davis,CA,95616","Bagels,Coffee & Tea,Sandwiches",Davis,,6:00 am - 4:30 pm,,,6:00 am - 4:30 pm,The Posh Bagel,(530) 753-6770,Under $10,4.0,235,6:00 am - 4:30 pm,,6:00 am - 4:30 pm,Yes,6:00 am - 4:30 pm,6:00 am - 4:30 pm,6:00 am - 4:30 pm,
"825 Russell Blvd,Davis,CA,95616","Sushi Bars,Ramen",Davis,No,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Ramen Hook,(530) 757-1256,Under $10,3.0,201,12:00 pm - 9:00 pm,,Closed,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"1414 E Covell Blvd,Davis,CA,95616","Grocery,Fruits & Veggies,Sandwiches",Davis,No,6:00 am - 11:00 pm,,"Locally owned & operated,93 years in business",6:00 am - 11:00 pm,Nugget Markets,(530) 750-3800,$11-30,4.5,355,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,Yes,6:00 am - 11:00 pm,6:00 am - 11:00 pm,6:00 am - 11:00 pm,No
"408 G St,Davis,CA,95616",Chicken Wings,Davis,No,11:00 am - 12:00 am,,,11:00 am - 12:00 am,Wingstop,(530) 759-9464,$11-30,3.0,135,11:00 am - 12:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,No
"1260 Lake Blvd,Ste 113,Davis,CA,95616","Pizza,Sports Bars",Davis,Yes,10:00 am - 11:00 pm,,,10:00 am - 10:00 pm,Lamppost Pizza,(530) 758-1111,$11-30,4.0,161,10:00 am - 11:00 pm,,10:00 am - 10:00 pm,Yes,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,Free
"618 2nd St,Davis,CA,95616","Ice Cream & Frozen Yogurt,Cafes",Davis,No,1:00 pm - 10:00 pm,,,1:00 pm - 9:30 pm,Icekrimski Cafe,(530) 758-5264,Under $10,4.0,170,1:00 pm - 10:00 pm,,1:00 pm - 9:30 pm,Yes,1:00 pm - 9:30 pm,1:00 pm - 9:30 pm,1:00 pm - 9:30 pm,No
"482 Hutchison Dr,Davis,CA,95616",American (New),Davis,No,,,,,The Gunrock,(530) 564-8438,$11-30,4.0,50,,,,Yes,,,,Free
"431 G St,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch,Sandwiches",Davis,No,7:00 am - 10:00 pm,,,7:00 am - 10:00 pm,Barista Brew Cafe,(530) 757-7575,Under $10,4.0,165,8:00 am - 10:00 pm,,9:00 am - 6:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,Free
"337 G St,Davis,CA,95616","Fast Food,Burgers,Tacos",Davis,No,Open 24 hours,,,Open 24 hours,Jack in the Box,(530) 297-0400,Under $10,2.5,75,Open 24 hours,,Open 24 hours,Yes,Open 24 hours,Open 24 hours,Open 24 hours,No
"609 3rd St,Davis,CA,95616","Sandwiches,Salad,Soup",Davis,Yes,6:00 am - 9:00 pm,,,6:00 am - 9:00 pm,Panera Bread,(530) 757-1235,Under $10,3.0,154,6:00 am - 9:00 pm,,7:00 am - 9:00 pm,Yes,6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,Free
"1491 W Covell Blvd,Davis,CA,95616","Chinese,Fast Food",Davis,No,10:00 am - 10:30 pm,,,10:00 am - 10:30 pm,Panda Express,(530) 757-2332,Under $10,2.5,87,10:30 am - 10:30 pm,,10:30 am - 10:00 pm,Yes,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm,No
"505 L St,Davis,CA,95616",Pizza,Davis,Yes,10:00 am - 11:00 pm,,,10:00 am - 11:00 pm,Pizza Guys,(530) 758-8888,Under $10,3.5,76,10:00 am - 11:00 pm,,10:00 am - 11:00 pm,Yes,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,No
"470 La Rue Rd,Davis,CA,95616",Cafeteria,Davis,No,7:00 am - 8:00 pm,,,7:00 am - 12:00 am,Segundo Dining Commons,(530) 752-0135,Under $10,4.0,47,9:00 am - 7:00 pm,,9:00 am - 8:00 pm,No,7:00 am - 12:00 am,7:00 am - 12:00 am,7:00 am - 12:00 am,Free
"409 Mace Blvd,Davis,CA,95618","Grocery,Fruits & Veggies,Sandwiches",Davis,No,7:00 am - 10:00 pm,,"Locally owned & operated,93 years in business",7:00 am - 10:00 pm,Nugget Markets,(530) 753-6690,$11-30,4.5,122,7:00 am - 10:00 pm,,7:00 am - 10:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,No
"1 Shields Ave,Davis,CA,95616",,Davis,,,,,,Taos Cafe,,,5.0,1,,,,,,,,
"1300 E Covell Blvd,Ste B,Davis,CA,95616","Pizza,Chicken Wings,Italian",Davis,Yes,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Cenario's Pizza of Davis,(530) 759-1100,Under $10,3.5,60,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"330 G St,Ste F,Davis,CA,95616",,Davis,,3:30 pm - 1:30 am,,,3:30 pm - 9:00 pm,Parkside Bar & Lounge,(530) 792-1202,,2.0,4,3:30 pm - 1:30 am,No,9:00 am - 8:30 pm,,3:30 pm - 1:30 am,3:30 pm - 9:00 pm,3:30 pm - 9:00 pm,Free
"521 2nd St,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch",Davis,No,6:00 am - 8:00 pm,,,6:00 am - 8:00 pm,Philz Coffee,(530) 231-5255,Under $10,4.0,161,6:00 am - 8:00 pm,,6:00 am - 8:00 pm,Yes,6:00 am - 8:00 pm,6:00 am - 8:00 pm,6:00 am - 8:00 pm,Free
